text,label
You should be grateful I put up with you,red_flag
You’re really thoughtful,green_flag
"If you leave me, you’ll regret it",red_flag
I respect your individuality,green_flag
I can’t trust you to make decisions,red_flag
I admire your dedication,green_flag
"You're too sensitive, I was just joking",red_flag
I trust you completely,green_flag
"You're crazy, nobody else would want you",red_flag
I’m excited to see what you accomplish,green_flag
"You’re overreacting again, calm down",red_flag
I enjoy hearing your ideas,green_flag
"If you really loved me, you’d do what I say",red_flag
You always encourage me,green_flag
"If you leave me, you’ll regret it",red_flag
I respect your individuality,green_flag
"You should listen to me, I know better",red_flag
I believe in you,green_flag
Stop acting like a child,red_flag
I love how you celebrate my wins,green_flag
You always exaggerate everything,red_flag
I love how passionate you are about your goals,green_flag
I can’t believe you messed this up again,red_flag
I love how you celebrate my wins,green_flag
I don’t want you posting pictures online,red_flag
Your happiness means a lot to me,green_flag
I don’t need to explain myself to you,red_flag
You always make me smile,green_flag
You’d be nothing without me,red_flag
You’re very responsible,green_flag
You always exaggerate everything,red_flag
"Take your time, I’ll be here",green_flag
I only criticize you because I care,red_flag
You inspire me to do better,green_flag
You shouldn’t have an opinion on this,red_flag
I’m so lucky to know you,green_flag
Why can’t you be more like them?,red_flag
I admire your dedication,green_flag
Why do you always make things difficult?,red_flag
I respect your boundaries,green_flag
I only criticize you because I care,red_flag
I love how you take initiative,green_flag
I can’t trust you to make decisions,red_flag
"That sounds fun, enjoy your night out!",green_flag
You’d be nothing without me,red_flag
You’re very responsible,green_flag
Why do you always make things difficult?,red_flag
I love how supportive you are,green_flag
You always exaggerate everything,red_flag
You always encourage me,green_flag
I don’t think you’re smart enough for that job,red_flag
I trust you completely,green_flag
You can’t go out without me knowing,red_flag
I respect your individuality,green_flag
I don’t want you posting pictures online,red_flag
I’m thankful for how you care about others,green_flag
I can’t trust you to make decisions,red_flag
I love how supportive you are,green_flag
No one else will love you like I do,red_flag
You’re so compassionate towards others,green_flag
No one else will love you like I do,red_flag
I appreciate you being honest with me,green_flag
"You’re imagining things, that never happened",red_flag
I’m so lucky to know you,green_flag
Don’t tell anyone what we argue about,red_flag
You make me feel safe and respected,green_flag
I don’t want you talking to other guys,red_flag
You make me feel important,green_flag
